Number of nodes 255 
     0 :  3.7500000e-01  5.0000000e-01 
     1 :  0.0000000e+00 -1.0000000e+00 
     2 : -5.0000000e-01 -5.0000000e-01 
     3 :  5.0000000e-01 -1.0000000e+00 
     4 : -5.0000000e-01  1.0000000e+00 
     5 :  5.0000000e-01  1.0000000e+00 
     6 :  3.3838835e-01  5.8838835e-01 
     7 :  2.5000000e-01  6.2500000e-01 
     8 :  1.6161165e-01  5.8838835e-01 
     9 :  1.2500000e-01  5.0000000e-01 
    10 :  1.6161165e-01  4.1161165e-01 
    11 :  2.5000000e-01  3.7500000e-01 
    12 :  3.3838835e-01  4.1161165e-01 
    13 : -9.6073598e-03 -9.0245484e-01 
    14 : -3.8060234e-02 -8.0865828e-01 
    15 : -8.4265194e-02 -7.2221488e-01 
    16 : -1.4644661e-01 -6.4644661e-01 
    17 : -2.2221488e-01 -5.8426519e-01 
    18 : -3.0865828e-01 -5.3806023e-01 
    19 : -4.0245484e-01 -5.0960736e-01 
    20 :  1.0000000e-01 -1.0000000e+00 
    21 :  2.0000000e-01 -1.0000000e+00 
    22 :  3.0000000e-01 -1.0000000e+00 
    23 :  4.0000000e-01 -1.0000000e+00 
    24 : -5.0000000e-01  9.0000000e-01 
    25 : -5.0000000e-01  8.0000000e-01 
    26 : -5.0000000e-01  7.0000000e-01 
    27 : -5.0000000e-01  6.0000000e-01 
    28 : -5.0000000e-01  5.0000000e-01 
    29 : -5.0000000e-01  4.0000000e-01 
    30 : -5.0000000e-01  3.0000000e-01 
    31 : -5.0000000e-01  2.0000000e-01 
    32 : -5.0000000e-01  1.0000000e-01 
    33 : -5.0000000e-01  0.0000000e+00 
    34 : -5.0000000e-01 -1.0000000e-01 
    35 : -5.0000000e-01 -2.0000000e-01 
    36 : -5.0000000e-01 -3.0000000e-01 
    37 : -5.0000000e-01 -4.0000000e-01 
    38 :  5.0000000e-01 -9.0000000e-01 
    39 :  5.0000000e-01 -8.0000000e-01 
    40 :  5.0000000e-01 -7.0000000e-01 
    41 :  5.0000000e-01 -6.0000000e-01 
    42 :  5.0000000e-01 -5.0000000e-01 
    43 :  5.0000000e-01 -4.0000000e-01 
    44 :  5.0000000e-01 -3.0000000e-01 
    45 :  5.0000000e-01 -2.0000000e-01 
    46 :  5.0000000e-01 -1.0000000e-01 
    47 :  5.0000000e-01  0.0000000e+00 
    48 :  5.0000000e-01  1.0000000e-01 
    49 :  5.0000000e-01  2.0000000e-01 
    50 :  5.0000000e-01  3.0000000e-01 
    51 :  5.0000000e-01  4.0000000e-01 
    52 :  5.0000000e-01  5.0000000e-01 
    53 :  5.0000000e-01  6.0000000e-01 
    54 :  5.0000000e-01  7.0000000e-01 
    55 :  5.0000000e-01  8.0000000e-01 
    56 :  5.0000000e-01  9.0000000e-01 
    57 :  4.0000000e-01  1.0000000e+00 
    58 :  3.0000000e-01  1.0000000e+00 
    59 :  2.0000000e-01  1.0000000e+00 
    60 :  1.0000000e-01  1.0000000e+00 
    61 :  0.0000000e+00  1.0000000e+00 
    62 : -1.0000000e-01  1.0000000e+00 
    63 : -2.0000000e-01  1.0000000e+00 
    64 : -3.0000000e-01  1.0000000e+00 
    65 : -4.0000000e-01  1.0000000e+00 
    66 : -4.1492672e-01 -4.9749287e-02 
    67 :  4.1243414e-01 -1.4976601e-01 
    68 :  1.7948575e-01  3.1546903e-01 
    69 : -1.4878181e-01 -5.5167314e-01 
    70 :  6.5174648e-02  4.2509731e-01 
    71 :  2.9139541e-02  5.0950254e-01 
    72 :  4.1339746e-01 -4.5000000e-01 
    73 : -4.1496234e-01  2.4996211e-01 
    74 :  1.3481319e-02 -7.3755294e-01 
    75 : -4.1094284e-01  6.4852075e-01 
    76 : -1.4997612e-01  9.1627316e-01 
    77 : -4.0868278e-01  4.6358271e-01 
    78 : -4.1382664e-01 -2.4953145e-01 
    79 :  4.1010175e-01  5.2633272e-02 
    80 : -2.9031293e-02  4.3565232e-01 
    81 :  4.1682548e-01 -6.5651031e-01 
    82 : -6.5962941e-02  5.2484844e-01 
    83 :  5.0065895e-02  9.1428750e-01 
    84 :  2.5317987e-01 -9.0059627e-01 
    85 :  2.0017294e-03  6.0552153e-01 
    86 : -1.0155476e-01  6.1559401e-01 
    87 : -1.2473448e-01  4.4862843e-01 
    88 : -8.7418107e-02  3.5874116e-01 
    89 :  2.5000000e-01  9.1339746e-01 
    90 :  2.6268236e-01  2.7989374e-01 
    91 :  1.9131648e-01  2.2108466e-01 
    92 :  1.7381514e-01  6.8350296e-01 
    93 : -1.8041403e-01  3.6864934e-01 
    94 : -1.4586231e-01  2.8094175e-01 
    95 : -4.9691224e-02  2.6914919e-01 
    96 : -1.0868078e-01  1.9127534e-01 
